商区名称,评论总和,评论平均数,商铺总和,经度,纬度
联洋,1471.0,70.04761904761905,21,121.55571014285715,31.226931952380955
淮海路,1034831.0,1467.845390070922,705,121.46928784113447,31.21946471914893
新天地,572806.0,926.8705501618123,618,121.47520192556621,31.218153402912677
瑞金宾馆区,180207.0,411.43150684931504,438,121.46621663470312,31.20752255022833
打浦桥,816109.0,1214.4479166666667,672,121.4708065863095,31.204909107142882
外滩,410554.0,776.0945179584121,529,121.48952848960289,31.23353628922494
人民广场,1345735.0,1911.5553977272727,704,121.47648039772729,31.23256391477271
南京东路,1028529.0,1519.245199409158,677,121.48138677400256,31.235868304283613
城隍庙,128412.0,348.0,369,121.49276749051486,31.225811764227632
老西门,173480.0,314.27536231884056,552,121.48652154891286,31.213486222826056
董家渡,85201.0,243.43142857142857,350,121.49790628857141,31.21020839142858
长寿路,391356.0,632.2390953150242,619,121.4388922180938,31.241358369951545
曹杨地区,117713.0,257.5776805251641,457,121.41194728884014,31.23846204376373
梅川路,482541.0,845.0805604203152,571,121.38162829772357,31.240610036777607
真如,66324.0,180.22826086956522,368,121.40058054891313,31.253240271739124
武宁地区,118955.0,292.9926108374384,406,121.42193100000006,31.23828045812808
月星环球港,427266.0,806.1622641509434,530,121.4123052962263,31.232912067924644
桃浦,43448.0,147.28135593220338,295,121.37229898983043,31.273798891525427
曲阳地区,122096.0,267.7543859649123,456,121.48940717105265,31.28203245614034
虹口足球场,596001.0,1528.2076923076922,390,121.47829315384601,31.268812448717934
四川北路,244292.0,437.79928315412184,558,121.48419753046593,31.2578360143369
北外滩,123771.0,293.2962085308057,422,121.50069783886252,31.25121684360192
赤峰路,37931.0,119.27987421383648,318,121.48171590251566,31.282040242138372
控江地区,275056.0,451.6518883415435,609,121.51651160262708,31.27359026600986
中原地区,155840.0,293.4839924670433,531,121.53150376082864,31.31672887382297
黄兴公园,119202.0,248.85594989561588,479,121.53100855114829,31.291068260960333
平凉路,245377.0,422.3356282271945,581,121.53548577969015,31.266442416523198
鞍山新村,63920.0,152.1904761904762,420,121.51294445952368,31.274919261904746
新江湾城,41722.0,125.29129129129129,333,121.50673591891885,31.3258573723724
大连路地铁站,29111.0,78.67837837837838,370,121.51435719189197,31.258069124324326
大华地区,282200.0,471.118530884808,599,121.41321665442385,31.277771656093496
淞滨地区,82182.0,302.1397058823529,272,121.49320238970591,31.376371801470576
上海大学,77188.0,190.58765432098767,405,121.39244517530882,31.31397787407405
宝山城区,154891.0,311.0261044176707,498,121.48368211044168,31.396054662650634
顾村公园,125140.0,278.0888888888889,450,121.37395097555563,31.351501784444444
美兰湖,25878.0,79.62461538461538,325,121.35165699384603,31.40288252307692
月浦,15347.0,57.47940074906367,267,121.42767881647934,31.411327112359572
杨行,47427.0,130.65289256198346,363,121.43985499449036,31.37601545730027
高境,64024.0,302.0,212,121.47599567452829,31.320905339622637
淞南,48093.0,137.80229226361033,349,121.48399368194838,31.340045618911216
嘉和广场,3266.0,35.11827956989247,93,121.22101274193557,31.035416989247334
松江镇,70105.0,155.7888888888889,450,121.23675044666676,31.018901602222204
松江大学城,102732.0,205.464,500,121.22888834800004,31.049396958000017
